occ_code,title,observed_exposure,indonesia_usage_pct,n_tasks,quad
17-3022,Civil Engineering Technologists and Technicians,0.0776,0.1220188574597892,1,low_low
17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.0202,0.0,0,low_low
17-3025,Environmental Engineering Technologists and Technicians,0.1029,0.0,0,low_low
17-3027,Mechanical Engineering Technologists and Technicians,0.0683,0.0,0,low_low
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0,0.1552967276760954,1,low_low
19-1013,Soil and Plant Scientists,0.0513,0.0,0,low_low
19-1021,Biochemists and Biophysicists,0.0756,0.1220188574597892,1,low_low
19-1022,Microbiologists,0.0969,0.0,0,low_low
19-1023,Zoologists and Wildlife Biologists,0.0606,0.088740987243483,1,low_low
19-1029,"Biological Scientists, All Other",0.2452,0.6322795341098169,2,high_high
19-1042,"Medical Scientists, Except Epidemiologists",0.0381,0.0,0,low_low
19-2011,Astronomers,0.3849,0.0,0,high_low
19-2012,Physicists,0.2727,0.0,0,high_low
19-2021,Atmospheric and Space Scientists,0.038,0.0,0,low_low
19-2031,Chemists,0.2614,0.3660565723793677,1,high_high
19-2032,Materials Scientists,0.1843,0.0,0,high_low
19-2041,"Environmental Scientists and Specialists, Including Health",0.0548,0.0,0,low_low
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.043,0.0942872989462007,1,low_low
19-2043,Hydrologists,0.0748,0.0,0,low_low
19-2099,"Physical Scientists, All Other",0.0379,0.0,0,low_low
19-3011,Economists,0.2418,0.0,0,high_low
19-3022,Survey Researchers,0.4316,0.088740987243483,1,high_low
19-3032,Industrial-Organizational Psychologists,0.1577,0.0,0,high_low
19-3033,Clinical and Counseling Psychologists,0.0591,0.0,0,low_low
19-3034,School Psychologists,0.0467,0.0,0,low_low
19-3041,Sociologists,0.3833,0.0,0,high_low
19-3051,Urban and Regional Planners,0.0959,0.0,0,low_low
19-3091,Anthropologists and Archeologists,0.1354,0.232945091514143,1,high_high
19-3092,Geographers,0.1096,0.0,0,high_low
19-3093,Historians,0.028,0.543538546866334,1,low_high
19-3094,Political Scientists,0.452,0.2884082085413199,2,high_high
19-3099,"Social Scientists and Related Workers, All Other",0.0327,0.0,0,low_low
19-4012,Agricultural Technicians,0.0058,0.0,0,low_low
19-4013,Food Science Technicians,0.2038,0.0,0,high_low
19-4021,Biological Technicians,0.0599,0.1386577925679423,1,low_low
19-4031,Chemical Technicians,0.3148,0.0,0,high_low
19-4042,"Environmental Science and Protection Technicians, Including Health",0.1444,0.0,0,high_low
19-4043,"Geological Technicians, Except Hydrologic Technicians",0.229,0.0,0,high_low
19-4061,Social Science Research Assistants,0.4393,1.0094287298946198,4,high_high
19-4071,Forest and Conservation Technicians,0.0221,0.0,0,low_low
