occ_code,title,observed_exposure,indonesia_share,global_median,n_countries,RCA,soc_major,soc_label,quadrant
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.0955,0.0,0.09507344811390567,6.0,0.0,19,"Life, Physical & Social Science",LL
21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.1182,0.8608555372369658,1.4765596160945,67.0,0.583014412593735,21,Community & Social Service,LL
21-2011,Clergy,0.1116,0.7604223912259864,0.30013233120124905,24.0,2.5336237125219845,21,Community & Social Service,LH
21-2021,"Directors, Religious Activities and Education",0.153,0.0,0.11058379025941106,9.0,0.0,21,Community & Social Service,LL
23-1011,Lawyers,0.1673,0.0,0.2492782766340662,18.0,0.0,23,Legal,HL
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.3048,0.0,0.22397804297093105,19.0,0.0,23,Legal,HL
25-1011,"Business Teachers, Postsecondary",0.3072,1.1980239559881105,1.1219753866055373,48.0,1.0677809605187982,25,Educational Instruction,HH
25-1021,"Computer Science Teachers, Postsecondary",0.2414,0.22956147659652412,0.12918672416876203,12.0,1.7769742059303117,25,Educational Instruction,HH
25-1022,"Mathematical Science Teachers, Postsecondary",0.4305,0.0,0.13907959707459203,12.0,0.0,25,Educational Instruction,HL
25-1032,"Engineering Teachers, Postsecondary",0.3589,0.0,0.13289695524262302,10.0,0.0,25,Educational Instruction,HL
25-1042,"Biological Science Teachers, Postsecondary",0.2914,5.330130534725547,2.403983883059378,85.0,2.217207266773466,25,Educational Instruction,HH
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0396,0.0,0.05359816264336631,6.0,0.0,25,Educational Instruction,LL
25-1053,"Environmental Science Teachers, Postsecondary",0.0232,0.0,0.06911486891213188,7.0,0.0,25,Educational Instruction,LL
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.0236,0.10760694215462062,0.24353896695043037,20.0,0.4418469187993345,25,Educational Instruction,LL
25-1066,"Psychology Teachers, Postsecondary",0.3219,0.23673527274016554,0.23193784065870354,25.0,1.0206841284192234,25,Educational Instruction,HH
25-1081,"Education Teachers, Postsecondary",0.2621,0.0,0.04525412845175578,5.0,0.0,25,Educational Instruction,HL
25-1123,"English Language and Literature Teachers, Postsecondary",0.3618,0.36586360332571044,0.3580228029069228,26.0,1.0219002822030474,25,Educational Instruction,HH
25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.2403,0.9038983140988143,1.255240331317388,64.0,0.7200998020436161,25,Educational Instruction,HL
25-1125,"History Teachers, Postsecondary",0.0994,0.2080400881656,0.4494670414475316,34.0,0.46285949576101565,25,Educational Instruction,LL
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.2197,0.5236871184858208,0.15268814354136004,20.0,3.4297824725595993,25,Educational Instruction,HH
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.1138,0.3443422148947863,0.24432106848049218,24.0,1.4093840414023906,25,Educational Instruction,LH
25-1194,"Career/Technical Education Teachers, Postsecondary",0.1563,0.8823769256678898,0.6581555784632463,43.0,1.3406813746503323,25,Educational Instruction,LH
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.2972,3.020168176473022,1.2750455373406193,71.0,2.368674755548127,25,Educational Instruction,HH
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.0636,1.3271522865736558,0.9445698751324698,49.0,1.4050334670979543,25,Educational Instruction,LH
