geo_id,usage_pct,working_age_pop,pop_share,AUI
IL,1.1343771967477247,5988435.0,0.1573903477942924,7.207412733024419
MC,0.0025920327135264,19455.0,0.0005113237793076085,5.069259084794202
SG,0.5572870334081912,4506976.0,0.11845407358358716,4.7046675268195095
AU,1.9443355790704764,17527551.0,0.4606658246891212,4.2207072347565715
NZ,0.3781257322492415,3453239.0,0.09075935319107822,4.1662453395096675
KR,3.6583949718712607,36307699.0,0.9542528846385545,3.833779316535116
US,21.58644843824845,220210617.0,5.787659980884107,3.7297368037420475
EE,0.0726805972872822,865244.0,0.022740674998881133,3.1960615632938847
LI,0.0021773074793622,26133.0,0.0006868375391748,3.1700472894625458
IM,0.0043546149587244,52704.0,0.001385186762509802,3.1437024064786248
SM,0.001762582245198,22198.0,0.0005834163584204726,3.0211395682664315
CA,2.117794408259668,26874373.0,0.7063225889942099,2.9983387778597983
IS,0.0206325803996707,269437.0,0.007081446678247449,2.9136109240290082
MT,0.0293418103171196,383417.0,0.010077112798292744,2.9117278832177673
CH,0.4469701211205046,5874889.0,0.1544060882288716,2.8947700589239327
LU,0.0345258757441725,465906.0,0.012245120366080218,2.8195619734217905
GB,3.159584196480228,43830571.0,1.151971894779258,2.7427615298597803
BM,0.0030067579476907,41787.0,0.001098261977174353,2.737742005260523
AD,0.0041472523416423,59134.0,0.0015541824911629977,2.6684461864828393
NL,0.8037375038102881,11602374.0,0.3049380479373084,2.6357403060949838
KY,0.003628845798937,55705.0,0.0014640601966759358,2.4786178923353592
CY,0.0608609281136015,941447.0,0.02474347150130096,2.4596762063238202
DK,0.2366007460906962,3791657.0,0.0996537849950218,2.3742273923917248
TW,1.0036350666774494,16169127.0,0.4249632035849239,2.361698749941028
NO,0.2214632750437016,3623426.0,0.095232273264531,2.32550654785414
IE,0.2153460778397792,3526890.0,0.09269507704971532,2.3231662855653297
SE,0.3913969397424971,6581488.0,0.17297719442959003,2.2627083358194615
GE,0.1384145469023135,2335229.0,0.06137538513640336,2.255212681675152
ME,0.023017250496115,399508.0,0.010500022638068571,2.1921143686552007
LT,0.1083469674254064,1880919.0,0.04943503529434529,2.19170405725997
LV,0.0668744440089829,1170560.0,0.030765107330059844,2.173710733121399
PT,0.3650618873730681,6706494.0,0.17626265011481884,2.0711244675787186
FR,2.209863410244128,42033842.0,1.1047495733877608,2.0003297249235312
FI,0.1770876749881285,3465172.0,0.09107298087848391,1.9444589743297362
BE,0.3793699079517342,7535358.0,0.1980471719864211,1.9155532701963818
JP,3.6597428288822944,72876601.0,1.9153708068060984,1.9107228824192821
DE,2.6068591406478423,52523588.0,1.3804451050606916,1.8884192722268598
CZ,0.3211010125516592,6938176.0,0.18235180538788723,1.760887488164065
AT,0.2695714022067529,5981212.0,0.15720051013518477,1.714825238002947
SI,0.0604462028794373,1350486.0,0.035493991540581596,1.7029981767569566
PL,1.0339100087714386,23779135.0,0.6249723555315255,1.6543291869159882
AM,0.0848113103865861,2034270.0,0.05346546515199634,1.5862821008940449
MV,0.0164853280580283,399901.0,0.010510351614952042,1.5684849243840948
IT,1.491248260746049,37446049.0,0.9841714363823127,1.5152322101804594
BG,0.1615354787069696,4091863.0,0.10754391434433148,1.5020420234079377
DM,0.001762582245198,45794.0,0.0012035754895714534,1.4644550844297994
RS,0.1595655338446895,4150130.0,0.10907531000862943,1.4628932416700495
HR,0.0933131776869529,2431478.0,0.06390503830703188,1.4601849894624825
MU,0.0323485682648103,902605.0,0.023722611144792804,1.3636175236936734
UY,0.0790051571082868,2223696.0,0.058444032009828416,1.3518088056450428
CR,0.1255580646432222,3538385.0,0.09299719305296081,1.3501274664464158
AE,0.3121844200171281,8932401.0,0.23476479247551074,1.3297752900903712
BB,0.0065319224380867,187017.0,0.004915252594950965,1.3289088021226836
GR,0.2268547030878367,6528411.0,0.1715822043378753,1.3221342152774784
ES,1.0971556069814845,32179918.0,0.8457649596283187,1.2972346447926175
MD,0.051114885110742,1529130.0,0.04018918173490842,1.2718568257473002
PF,0.0062208785124635,196066.0,0.005153081887110027,1.207215147895179
LC,0.0041472523416423,130937.0,0.0034413365043022533,1.2051283960337889
CL,0.426648584646457,13617680.0,0.3579050939605055,1.192071842077602
MK,0.0342148318185494,1167649.0,0.030688599310447175,1.1149036641402468
CW,0.0030067579476907,106465.0,0.002798154004830868,1.0745505581535855
GU,0.0029030766391496,103040.0,0.002708136839879516,1.0719829945073074
RO,0.3449477135161027,12262203.0,0.32227992704174224,1.0703357068571773
LK,0.3934705659133183,14435143.0,0.3793899703729514,1.0371137790662344
SK,0.0936242216125761,3562375.0,0.09362770744337919,0.9999627692389542
EC,0.315398540581901,12187069.0,0.3203052264077408,0.9846812183464227
HU,0.1580103142165736,6177773.0,0.16236660180233886,0.9731700513688862
TH,1.266881909063198,50087170.0,1.3164102317770583,0.9623762247373293
BR,3.6788201896538495,146884644.0,3.8604786066477845,0.9529440684683196
UA,0.6347369708883622,25422766.0,0.6681708965085055,0.9499620145162703
NC,0.0048730215014297,196852.0,0.005173739840876965,0.9418760222399793
PA,0.0728879599043643,2969081.0,0.07803452675355506,0.9340475676178007
TN,0.1955429479084369,8155858.0,0.21435539121337413,0.9122371347954067
PE,0.5246274212177577,22858026.0,0.6007634151545401,0.8732679254158691
SC,0.0019699448622801,86780.0,0.002280785277219957,0.8637134244751267
PR,0.0460345009922301,2038982.0,0.05358930774506226,0.8590239905920737
CO,0.8240590402843356,36993721.0,0.9722831782251988,0.8475504449110898
AL,0.0383620841601917,1798066.0,0.04725746093880825,0.8117677801155079
AR,0.6395063110812509,30150350.0,0.7924230742455489,0.8070263623886934
QA,0.049352302865544,2379235.0,0.06253196772351262,0.7892331660464774
GD,0.0016589009366569,80075.0,0.002104561892986726,0.788240508480671
MY,0.5060684669889082,25059539.0,0.6586244250417069,0.7683718485795022
MA,0.5023359398814301,25220566.0,0.6628565984783847,0.7578350144428877
LB,0.072369553361659,3696945.0,0.09716452784848968,0.7448145425510232
BH,0.0236393383473614,1230105.0,0.032330091881017,0.7311868594237284
TT,0.0182479103032263,955936.0,0.025124276962025086,0.7263058885558261
BN,0.0063245598210045,334579.0,0.008793533732046279,0.7192284710247832
TR,1.078492971444094,58380949.0,1.5343905156640838,0.7028803687419318
BA,0.0373252710747811,2048283.0,0.05383376019797103,0.693343190918101
BS,0.0047693401928887,282148.0,0.007415522060348657,0.6431563622999267
VN,1.1043096172708176,68397760.0,1.7976561880943087,0.6143052406709059
DO,0.1172635599599375,7489835.0,0.19685071902289397,0.5956979001245081
PY,0.0701922458822968,4495248.0,0.11814583378488659,0.5941152864526646
JM,0.0321412056477282,2075097.0,0.05453849604060039,0.5893306193078948
BZ,0.0039398897245602,285268.0,0.007497523098202152,0.5254921756099632
BO,0.1049254842435515,8015521.0,0.21066700030015428,0.49806321870086767
KE,0.4214645192194041,33971376.0,0.8928487465741346,0.4720447005571388
ZA,0.5341661016035351,43157289.0,1.1342764387638489,0.47093114460323016
JO,0.0925874085271655,7487234.0,0.1967823585422988,0.47050665117047896
PH,0.9409078750101088,77198220.0,2.028953256552054,0.4637405381181926
CV,0.0041472523416423,354788.0,0.009324674428835148,0.44476108772415135
XK,0.0122343944078449,1057138.0,0.027784106780246037,0.4403378703015681
NP,0.2201154180326679,19293162.0,0.5070702908575656,0.4340925153796826
SA,0.2896855760637183,25850598.0,0.6794153413889338,0.4263747937624016
KZ,0.1421470740097916,12761934.0,0.33541404904416683,0.42379582612854083
BT,0.0062208785124635,574618.0,0.01510233088759596,0.4119151248085096
SV,0.045930819683689,4249458.0,0.11168588663937042,0.41124998928466144
MX,0.9509649619385916,87993476.0,2.3126783193386453,0.41119638385788915
IQ,0.2944549162566071,27627172.0,0.7261079413323743,0.40552499083854665
PS,0.031830161722105,3073799.0,0.08078676543366475,0.3940021803229792
,0.0185589542288495,1798301.0,0.047263637299031186,0.3926687679881532
FJ,0.0061171972039224,616896.0,0.016213497515278667,0.37729041486316606
GT,0.1157083403318216,11701574.0,0.3075452604229067,0.3762319086716232
ID,1.8693739929952908,193093840.0,5.07496643689636,0.36835199133622704
GH,0.1961650357596833,20819475.0,0.5471854351169506,0.35849827712931853
KW,0.0356663701381242,3913252.0,0.10284959146867426,0.346781835774111
MN,0.0184552729203084,2208951.0,0.058056498258818874,0.317884706687507
RW,0.0677038944773114,8370477.0,0.21999609016948923,0.3077504442244906
OM,0.0307933486366944,3836566.0,0.1008341005748175,0.30538625783492923
SN,0.0858481234719967,10768138.0,0.28301233709924817,0.30333703594656747
GA,0.0119233504822217,1508973.0,0.03965940772208378,0.3006436849933679
LA,0.0395025785541434,5060934.0,0.133013410419243,0.29698192407544327
EG,0.5573907147167323,73289803.0,1.9262307404096688,0.2893686114666548
IN,7.150277762225582,989967399.0,26.018703256129697,0.27481299478447535
AZ,0.0501817533338724,7104510.0,0.18672345943606775,0.26874905534327964
DZ,0.2030080021233931,29534577.0,0.7762390918474208,0.2615276713779532
BJ,0.054640049601138,8002133.0,0.21031513174413421,0.25980084812733373
KH,0.0759983991605961,11296444.0,0.29689747822239826,0.255975226248529
BW,0.0107828560882701,1609356.0,0.04229771226786819,0.2549276428943271
PK,0.9605036423243692,148335347.0,3.8986065398584184,0.24637101295152777
SR,0.0026957140220675,421653.0,0.011082046030140893,0.24325057076425333
KG,0.0286160411573322,4477563.0,0.11768102982513048,0.24316613476152057
HN,0.0448940065982784,7032493.0,0.18483068099276803,0.24289261045375357
GY,0.0032141205647728,532764.0,0.014002307990698471,0.22954219882235796
CM,0.0971493861029721,16240266.0,0.42683290609513536,0.2276051933102805
NG,0.7107353700489584,130155065.0,3.4207853884259802,0.2077696462495684
CI,0.0973567487200542,18049122.0,0.47437395395652027,0.2052320704120649
SZ,0.0041472523416423,775344.0,0.02037788868380768,0.2035172733541192
ZW,0.0383620841601917,9236166.0,0.24274846082921805,0.15803224469126811
TL,0.003525164490396,855284.0,0.022478902454964207,0.15682102351120386
LS,0.0057024719697582,1440421.0,0.03785769773909251,0.15062912724007854
CG,0.012441757024927,3582468.0,0.09415579938363247,0.13214010296098452
MG,0.0604462028794373,18328064.0,0.4817052146939977,0.12548380427609784
GM,0.0049767028099708,1564189.0,0.04111061583301922,0.12105639161877046
ZM,0.0372215897662401,12063392.0,0.3170547000107515,0.11739800660573048
TG,0.0164853280580283,5448495.0,0.1431994374165309,0.11512145826436912
BD,0.3440145817392332,113705228.0,2.988444456848795,0.11511493243611559
DJ,0.0021773074793622,771113.0,0.020266687917410844,0.10743282218757136
MZ,0.0469676327690996,18274202.0,0.48028959293089996,0.09779023626659533
MR,0.0069466476722509,2794594.0,0.07344859242921443,0.0945783634852592
UG,0.0630382355929637,27142399.0,0.7133669512287357,0.0883671937484401
UZ,0.0496633467911671,22919628.0,0.6023824625692359,0.08244487493767128
BF,0.028304997231709,13080453.0,0.343785487690339,0.08233331029145831
HT,0.0139969766530429,7546932.0,0.19835136429799685,0.07056657614925342
MW,0.0201141738569654,12280351.0,0.32275689974525673,0.062319888042179646
TJ,0.0101607682370237,6342581.0,0.16669814893264615,0.06095309577270187
AO,0.024676151432772,20002446.0,0.5257119652591291,0.04693853871218027
LR,0.0037325271074781,3208590.0,0.08432939424562322,0.04426128209348334
TZ,0.0419909299591288,37309677.0,0.9805872551213651,0.042822226925569896
SL,0.0055987906612171,5070151.0,0.13325565515190185,0.04201540756251494
PG,0.007050328980792,6669106.0,0.17528000434454113,0.04022323599977463
GN,0.0079834607576615,8210112.0,0.2157813156709714,0.036997924184663314
BI,0.0061171972039224,7412918.0,0.19482915689834998,0.031397750220281365
TD,0.0069466476722509,10522017.0,0.27654369048465205,0.025119530516413767
NE,0.0073613729064151,13733709.0,0.36095461268521806,0.020394178790658146
TM,0.001866263553739,4793698.0,0.12598981126801975,0.01481281331368037
