SOC_major,Indonesia_%,Global_median_%,ASEAN_avg_%,SOC_label,ID_vs_global_pp,ID_vs_ASEAN_pp
15,43.83936215103097,69.27710843373494,67.66170088932229,Computer & Mathematical,-25.43774628270397,-23.82233873829132
25,32.82402137210135,9.3841642228739,13.9444710773197,Educational Instruction,23.43985714922745,18.87955029478165
27,10.391038207348746,4.774193548387097,6.781634678953507,"Arts, Design, Entertainment",5.616844658961649,3.609403528395239
19,4.553162945284237,0.0,2.483533379672981,"Life, Physical & Social Science",4.553162945284237,2.069629565611256
43,3.3871090202724203,7.057416267942584,5.4897612345961955,Office & Admin Support,-3.6703072476701633,-2.102652214323775
21,1.9989495857345434,0.0,0.9539799889320344,Community & Social Service,1.9989495857345434,1.044969596802509
51,1.3247007175304313,0.0,0.985028473295691,Production,1.3247007175304313,0.3396722442347403
11,0.6901135474559732,0.0,0.26865186012262493,Management,0.6901135474559732,0.42146168733334827
41,0.6742488682041118,0.0,0.6790828889232324,Sales,0.6742488682041118,-0.004834020719120646
45,0.3172935850372291,0.0,0.3072002246778277,"Farming, Fishing, Forestry",0.3172935850372291,0.010093360359401393
23,0.0,0.0,0.0,Legal,0.0,0.0
13,0.0,0.0,0.0,Business & Financial,0.0,0.0
31,0.0,0.0,0.0,Healthcare Support,0.0,0.0
35,0.0,0.0,0.0,Food Preparation,0.0,0.0
39,0.0,0.0,0.042960754087589384,Personal Care & Service,0.0,-0.042960754087589384
17,0.0,0.0,0.2849544522482584,Architecture & Engineering,0.0,-0.2849544522482584
49,0.0,0.0,0.02923007970068398,"Installation, Maintenance, Repair",0.0,-0.02923007970068398
29,0.0,0.0,0.08781001814740375,Healthcare Practitioners,0.0,-0.08781001814740375
