geo_id,usage_pct,usage_count,working_age_pop,pop_share,AUI
AD,0.0041472523416423,40.0,59134.0,0.0015549174016840292,2.66718498175574
AE,0.3121844200171281,3011.0,8932401.0,0.23487580332329666,1.3291467899203706
AL,0.0383620841601917,370.0,1798066.0,0.04727980709534947,0.8113841091362037
AM,0.0848113103865861,818.0,2034270.0,0.05349074682456405,1.5855323662753387
AO,0.024676151432772,238.0,20002446.0,0.5259605533473992,0.04691635385148987
AR,0.6395063110812509,6168.0,30150350.0,0.792797779312478,0.8066449323758664
AT,0.2695714022067529,2600.0,5981212.0,0.1572748439469905,1.714014749222145
AU,1.9443355790704764,18753.0,17527551.0,0.46088365506822315,4.218712374997683
AZ,0.0501817533338724,484.0,7104510.0,0.1868117534656577,0.2686220347645176
BA,0.0373252710747811,360.0,2048283.0,0.053859216022483995,0.6930154917071081
BB,0.0065319224380867,63.0,187017.0,0.004917576820623366,1.3282807114864135
BD,0.3440145817392332,3318.0,113705228.0,2.989857572287519,0.11506052493197196
BE,0.3793699079517342,3659.0,7535358.0,0.1981408205451849,1.9146479100464866
BF,0.028304997231709,273.0,13080453.0,0.34394805004921136,0.08229439657430586
BG,0.1615354787069696,1558.0,4091863.0,0.10759476754501669,1.5013321037139153
BH,0.0236393383473614,228.0,1230105.0,0.03234537948385925,0.7308412739185121
BI,0.0061171972039224,59.0,7412918.0,0.19492128378693765,0.03138291050149719
BJ,0.054640049601138,527.0,8002133.0,0.21041458132867769,0.259678056796775
BM,0.0030067579476907,29.0,41787.0,0.0010987813011832537,2.7364480488089735
BN,0.0063245598210045,61.0,334579.0,0.008797691841208793,0.7188885374888867
BO,0.1049254842435515,1012.0,8015521.0,0.2107666162692152,0.497827815907661
BR,3.6788201896538495,35482.0,146884644.0,3.8623040720357773,0.952493672440136
BS,0.0047693401928887,46.0,282148.0,0.007419028563099833,0.6428523832095836
BT,0.0062208785124635,60.0,574618.0,0.015109472173721945,0.4117204387379403
BW,0.0107828560882701,104.0,1609356.0,0.042317713158328586,0.2548071548178146
BZ,0.0039398897245602,38.0,285268.0,0.007501068375952915,0.5252438088940481
CA,2.117794408259668,20426.0,26874373.0,0.7066565805974132,2.9969216538948342
CG,0.012441757024927,120.0,3582468.0,0.09420032188210135,0.13207764874199449
CH,0.4469701211205046,4311.0,5874889.0,0.1544791006707154,2.893401885302642
CI,0.0973567487200542,939.0,18049122.0,0.47459826635976005,0.20513507027068406
CL,0.426648584646457,4115.0,13617680.0,0.3580743329144751,1.1915084255658186
CM,0.0971493861029721,937.0,16240266.0,0.4270347382449603,0.2274976188172406
CO,0.8240590402843356,7948.0,36993721.0,0.9727429319163917,0.8471498617428806
CR,0.1255580646432222,1211.0,3538385.0,0.093041167692998,1.3494893470976002
CV,0.0041472523416423,40.0,354788.0,0.009329083693115185,0.44455087745680216
CW,0.0030067579476907,29.0,106465.0,0.0027994771395523756,1.074042686475185
CY,0.0608609281136015,587.0,941447.0,0.024755171695864043,2.4585136738829325
CZ,0.3211010125516592,3097.0,6938176.0,0.18243803223773958,1.760055228688415
DE,2.6068591406478423,25143.0,52523588.0,1.3810978621450005,1.8875267365913495
DJ,0.0021773074793622,21.0,771113.0,0.02027627122069836,0.10738204552815252
DK,0.2366007460906962,2282.0,3791657.0,0.09970090727021784,2.3731052461683304
DM,0.001762582245198,17.0,45794.0,0.0012041446121134785,1.4637629296902874
DO,0.1172635599599375,1131.0,7489835.0,0.19694380182707244,0.5954163516295953
DZ,0.2030080021233931,1958.0,29534577.0,0.7766061441586379,0.26140406388791654
EC,0.315398540581901,3042.0,12187069.0,0.320456685893462,0.9842158221868318
EE,0.0726805972872822,701.0,865244.0,0.022751428151362944,3.1945509883487557
EG,0.5573907147167323,5376.0,73289803.0,1.9271415776151517,0.289231845335674
ES,1.0971556069814845,10582.0,32179918.0,0.8461648879319026,1.2966215245151853
FI,0.1770876749881285,1708.0,3465172.0,0.09111604563581444,1.9435399522926806
FJ,0.0061171972039224,59.0,616896.0,0.016221164227504834,0.37711209368992116
FR,2.209863410244128,21314.0,42033842.0,1.1052719651205232,1.9993842963375588
GA,0.0119233504822217,115.0,1508973.0,0.0396781610642161,0.30050158985253017
GB,3.159584196480228,30474.0,43830571.0,1.1525166160524802,2.74146520099833
GD,0.0016589009366569,16.0,80075.0,0.0021055570558367208,0.7878679573456985
GE,0.1384145469023135,1335.0,2335229.0,0.06140440709265725,2.2541467861329636
GF,0.0016589009366569,16.0,,,
GG,0.0016589009366569,16.0,,,
GH,0.1961650357596833,1892.0,20819475.0,0.5474441771472521,0.35832883780389285
GM,0.0049767028099708,48.0,1564189.0,0.04113005539322116,0.12099917596490847
GN,0.0079834607576615,77.0,8210112.0,0.2158833499945018,0.036980437619968505
GP,0.0045619775758065,44.0,,,
GR,0.2268547030878367,2188.0,6528411.0,0.17166333867564237,1.3215093265573632
GT,0.1157083403318216,1116.0,11701574.0,0.3076906862328507,0.37605408778690547
GU,0.0029030766391496,28.0,103040.0,0.0027094174090966684,1.071476336352876
GY,0.0032141205647728,31.0,532764.0,0.014008929120147296,0.22943370883005834
HN,0.0448940065982784,433.0,7032493.0,0.18491808000340115,0.24277781057132258
HR,0.0933131776869529,900.0,2431478.0,0.06393525643473941,1.4594948529251681
HT,0.0139969766530429,135.0,7546932.0,0.19844515669709567,0.07053322381864789
HU,0.1580103142165736,1524.0,6177773.0,0.1624433784515465,0.9727100958055044
ID,1.8693739929952908,18030.0,193093840.0,5.077366184834303,0.36817789478705815
IE,0.2153460778397792,2077.0,3526890.0,0.09273890883122038,2.322068272678267
IL,1.1343771967477247,10941.0,5988435.0,0.15746477137270776,7.2040062476116375
IM,0.0043546149587244,42.0,52704.0,0.0013858417617336064,3.1422165783754656
IN,7.150277762225582,68964.0,989967399.0,26.031006456606633,0.27468310816736985
IQ,0.2944549162566071,2840.0,27627172.0,0.7264512886345886,0.40533332497771984
IS,0.0206325803996707,199.0,269437.0,0.007084795210158958,2.91223384552957
IT,1.491248260746049,14383.0,37446049.0,0.9846368115536382,1.5145160563244016
JE,0.0032141205647728,31.0,,,
JM,0.0321412056477282,310.0,2075097.0,0.05456428510640789,0.589052080221493
JO,0.0925874085271655,893.0,7487234.0,0.19687540902154974,0.4702842726134019
JP,3.6597428288822944,35298.0,72876601.0,1.916276508784857,1.909819805286346
KE,0.4214645192194041,4065.0,33971376.0,0.8932709389107991,0.4718215950619782
KG,0.0286160411573322,276.0,4477563.0,0.11773667646086088,0.24305120560155283
KH,0.0759983991605961,733.0,11296444.0,0.2970378691235016,0.25585424304601945
KR,3.6583949718712607,35285.0,36307699.0,0.9547041125275785,3.831967332984104
KW,0.0356663701381242,344.0,3913252.0,0.10289822491248404,0.3466179340650318
KY,0.003628845798937,35.0,55705.0,0.0014647524919810743,2.477446407364697
KZ,0.1421470740097916,1371.0,12761934.0,0.3355726528857015,0.423595524806391
LA,0.0395025785541434,381.0,5060934.0,0.13307630712237226,0.2968415596160046
LB,0.072369553361659,698.0,3696945.0,0.09721047305389055,0.7444625161070814
LC,0.0041472523416423,40.0,130937.0,0.0034429637742128343,1.2045588085196997
LI,0.0021773074793622,21.0,26133.0,0.0006871623170800003,3.1685490098094466
LK,0.3934705659133183,3795.0,14435143.0,0.3795693686626544,1.036623601371318
LR,0.0037325271074781,36.0,3208590.0,0.08436927023149728,0.044240362601650776
LS,0.0057024719697582,55.0,1440421.0,0.037875599124887735,0.15055793443571308
LT,0.1083469674254064,1045.0,1880919.0,0.04945841113839961,2.1906681782036785
LU,0.0345258757441725,333.0,465906.0,0.012250910592028263,2.818229345877251
LV,0.0668744440089829,645.0,1170560.0,0.030779654914520536,2.172683358364566
MA,0.5023359398814301,4845.0,25220566.0,0.6631700367592345,0.7574768340503364
MC,0.0025920327135264,25.0,19455.0,0.0005115655638002298,5.066863168566617
MD,0.051114885110742,493.0,1529130.0,0.040208185585908274,1.2712556999502158
ME,0.023017250496115,222.0,399508.0,0.0105049876773427,2.191078295670819
MG,0.0604462028794373,583.0,18328064.0,0.481932993756191,0.12542449606597578
MK,0.0342148318185494,330.0,1167649.0,0.030703110717336137,1.1143767201161938
MN,0.0184552729203084,178.0,2208951.0,0.058083950846675995,0.3177344628127092
MQ,0.0058061532782992,56.0,,,
MR,0.0069466476722509,67.0,2794594.0,0.07348332332062397,0.09453366231057816
MT,0.0293418103171196,283.0,383417.0,0.010081877860477652,2.910351694711908
MU,0.0323485682648103,312.0,902605.0,0.02373382861546679,1.3629730284531287
MV,0.0164853280580283,159.0,399901.0,0.01051532153838477,1.567743601358344
MW,0.0201141738569654,194.0,12280351.0,0.32290951852889827,0.06229043339633023
MX,0.9509649619385916,9172.0,87993476.0,2.3137718920936514,0.41100203749043585
MY,0.5060684669889082,4881.0,25059539.0,0.658935862097602,0.7680086880958817
MZ,0.0469676327690996,453.0,18274202.0,0.4805167026023792,0.09774401704401241
,0.0185589542288495,179.0,,,
NC,0.0048730215014297,47.0,196852.0,0.0051761862947932585,0.9414308573730213
NE,0.0073613729064151,71.0,13733709.0,0.3611252936341964,0.020384539759964414
NG,0.7107353700489584,6855.0,130155065.0,3.4224029405387077,0.20767144675754753
NL,0.8037375038102881,7752.0,11602374.0,0.3050822409011117,2.6344945593565665
NO,0.2214632750437016,2136.0,3623426.0,0.09527730478429255,2.3244074288739967
