geo_id,task,usage_pct,global_median,global_mean,n_countries,gap_pp,ratio
ID,adapt instructional content or delivery methods for different levels or types of learners.,0.1719356627842485,0.05287746735594,0.07470131797978016,7,0.11905819542830849,3.251586571400608
ID,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.14420410427066,0.1282420749279539,0.12008296605558653,14,0.015962029342706102,1.1244679591442477
ID,advise students on academic and vocational curricula and on career issues.,0.1774819744869661,0.0959061144886364,0.0970985101041043,12,0.0815758599983297,1.8505803872181201
ID,"advise students on academic and vocational curricula, and on career issues.",0.0831946755407653,0.02637597959489695,0.0394242783102716,4,0.05681869594586836,3.1541833447907757
ID,analyze characteristics of animals to identify and classify them.,0.088740987243483,0.1968891514077574,0.1920834386914084,23,-0.10814816416427439,0.45071547420965025
ID,analyze experimental data and interpret results to write reports and summaries of findings.,0.1386577925679423,0.1386577925679423,0.1424649181740773,18,0.0,1.0
ID,analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,0.1053799223516361,0.11372702529584344,0.11515446782391503,15,-0.008347102944207346,0.9266040510380568
ID,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",0.1663893510815307,0.20076892394234525,0.209093301774987,27,-0.034379572860814556,0.8287604865049367
ID,"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",0.3660565723793677,0.30155668421394966,0.2961943477608236,37,0.06449988816541802,1.2138897644850624
ID,"analyze test data, making computations as necessary, to determine test results.",0.14420410427066,0.0820371464198989,0.09323137444708532,10,0.062166957850761095,1.7577903494176377
ID,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.4048807542983915,0.7832219264345979,0.7962994782779258,76,-0.3783411721362064,0.5169425684256563
ID,"answer customers' questions about products, prices, availability, or credit terms.",0.160843039378813,0.3162790697674418,0.3249768477204738,40,-0.1554360303886288,0.5085478450947765
ID,"answer customers' questions, and provide information on procedures or policies.",0.3105934553521908,0.5400254129606099,0.5410604406729501,59,-0.2294319576084191,0.5751459984992333
ID,assess the usefulness of pre-developed application packages and adapt them to a user environment.,0.160843039378813,0.3750902292686866,0.39253652064884476,47,-0.21424718988987362,0.42881159472591074
ID,assist students who need extra help with their coursework outside of class.,4.120909595119246,1.1436650849519996,1.664660365864059,85,2.977244510167246,3.6032485815479824
ID,"classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.",0.1164725457570715,0.030621256066279752,0.05079283747913205,4,0.08585128969079175,3.803650167222615
ID,"compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",0.5213533000554631,0.5706656166333461,0.5873214630259741,64,-0.04931231657788304,0.9135880712968093
ID,compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,0.088740987243483,0.02823507955096235,0.04134601425205797,4,0.06050590769252066,3.1429338487717633
ID,compile bibliographies of specialized materials for outside reading assignments.,0.160843039378813,0.0288234037744143,0.0578592642958091,5,0.1320196356043987,5.580293036785222
ID,"compile, administer, and grade examinations, or assign this work to others.",0.160843039378813,0.1077058650739253,0.13864535194023941,11,0.05313717430488771,1.4933545101598351
ID,"compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",0.1331114808652246,0.2594732204053657,0.2724645067424822,27,-0.1263617395401411,0.513006624179826
ID,"compute dimensions, areas, volumes, and weights.",0.1552967276760954,0.17856176211263963,0.17384806684746745,25,-0.023265034436544235,0.8697087542075874
ID,"compute moisture or salt content, percentages of ingredients, formulas, or other product factors, using mathematical and chemical procedures.",0.1774819744869661,0.051406284864520646,0.0791598583725443,8,0.12607568962244545,3.4525345481532703
ID,"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills.",0.7265668330560178,0.3664403667990467,0.4051483780526335,49,0.3601264662569711,1.982769636988334
