variable,n,mean_val,median_val,skewness,excess_kurtosis,shapiro_W,shapiro_p,reject_normal
US observed exposure,142,0.2027823943661972,0.1625,0.7669740955496414,-0.23351348707257857,0.9132454344033495,1.5250968902592338e-07,True
Indonesia RCA,142,0.47325599436562393,0.0,2.0528070188990593,4.365718141785241,0.6896057217692491,6.122165298079057e-16,True
