soc_major,Indonesia_%,Global_median_%,ASEAN_avg_%,SOC_label,RCA
25,31.586224420452996,12.7949802209794,19.673865137384055,Educational Instruction,2.4686419107285817
19,5.731863118769462,3.9236177491573176,3.55941580818616,"Life, Physical & Social Science",1.4608617569844833
51,1.6141041323193102,1.4713610089332634,1.4478344924391051,Production,1.0970143442155882
27,10.114757101408168,9.262037921156733,9.371076207808354,"Arts, Design, Entertainment",1.0920660428633766
21,2.309962358252524,2.2522522522522523,1.3627261965827164,Community & Social Service,1.0256232870641206
11,0.8465079449496825,1.1418176188264433,0.6045678700255076,Management,0.7413687886684748
15,41.13929810254864,66.86217008797654,67.3585292902634,Computer & Mathematical,0.6152851163582933
43,4.2110183363174905,9.578088661457988,7.783719520776989,Office & Admin Support,0.43965121697636117
35,0.12912833058554476,0.3008336798141141,,Food Preparation,0.4292349535641538
49,0.15064971901646892,0.3592276605298607,0.19878070987598534,"Installation, Maintenance, Repair",0.41937115531209546
45,0.2869518457456552,0.7311129163281885,0.5314318165962062,"Farming, Fishing, Forestry",0.3924863579032239
29,0.3873849917566343,1.0133390096797645,0.7846668381785437,Healthcare Practitioners,0.38228567937896296
17,0.358689807182069,0.9440437206954791,0.546972139359549,Architecture & Engineering,0.3799504189465096
41,0.6097726722095173,1.8868119909969918,0.9773670363652031,Sales,0.32317616970799157
39,0.12195453444190339,0.3783957216940517,0.3007252786131257,Personal Care & Service,0.32229363983271614
13,0.4017325840439171,1.5894624526288674,,Business & Financial,0.2527474514289265
