occ_code,title,observed_exposure,SOCcode,JobName,JobFamily,isBright,isGreen,JobZone,MedianSalary,JobForecast,ChanceAuto,WageGroup,major_group_code
43-3021,Billing and Posting Clerks,0.1924,43-3021.02,"Billing, Cost, and Rate Clerks",Office and Administrative Support,True,False,2.0,37800.0,60500.0,-1.0,Billing and Posting Clerks,43-0000
43-3021,Billing and Posting Clerks,0.1924,43-3021.01,Statement Clerks,Office and Administrative Support,True,False,2.0,37800.0,60500.0,-1.0,Billing and Posting Clerks,43-0000
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0.3104,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,True,False,3.0,40240.0,188500.0,98.0,,43-0000
43-3041,Gambling Cage Workers,0.0653,43-3041.00,Gaming Cage Workers,Office and Administrative Support,False,False,2.0,27490.0,2300.0,39.0,,43-0000
43-3051,Payroll and Timekeeping Clerks,0.0487,43-3051.00,Payroll and Timekeeping Clerks,Office and Administrative Support,False,False,2.0,45050.0,15800.0,97.0,,43-0000
43-3061,Procurement Clerks,0.2436,43-3061.00,Procurement Clerks,Office and Administrative Support,False,False,3.0,42670.0,6700.0,98.0,,43-0000
43-3071,Tellers,0.0231,43-3071.00,Tellers,Office and Administrative Support,False,False,2.0,29450.0,47600.0,98.0,,43-0000
43-4011,Brokerage Clerks,0.1744,43-4011.00,Brokerage Clerks,Office and Administrative Support,False,False,3.0,51400.0,6200.0,98.0,,43-0000
43-4021,Correspondence Clerks,0.2786,43-4021.00,Correspondence Clerks,Office and Administrative Support,False,False,2.0,37290.0,700.0,86.0,,43-0000
43-4031,"Court, Municipal, and License Clerks",0.102,43-4031.01,Court Clerks,Office and Administrative Support,False,False,2.0,38450.0,14900.0,-1.0,"Court, Municipal, and License Clerks",43-0000
43-4031,"Court, Municipal, and License Clerks",0.102,43-4031.00,"Court, Municipal, and License Clerks",Office and Administrative Support,False,False,-1.0,38450.0,14900.0,46.0,,43-0000
43-4031,"Court, Municipal, and License Clerks",0.102,43-4031.03,License Clerks,Office and Administrative Support,False,False,2.0,38450.0,14900.0,-1.0,"Court, Municipal, and License Clerks",43-0000
43-4031,"Court, Municipal, and License Clerks",0.102,43-4031.02,Municipal Clerks,Office and Administrative Support,False,False,3.0,38450.0,14900.0,-1.0,"Court, Municipal, and License Clerks",43-0000
43-4041,"Credit Authorizers, Checkers, and Clerks",0.1296,43-4041.01,Credit Authorizers,Office and Administrative Support,False,False,3.0,38750.0,2800.0,-1.0,"Credit Authorizers, Checkers, and Clerks",43-0000
43-4041,"Credit Authorizers, Checkers, and Clerks",0.1296,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,False,False,-1.0,38750.0,2800.0,97.0,,43-0000
43-4041,"Credit Authorizers, Checkers, and Clerks",0.1296,43-4041.02,Credit Checkers,Office and Administrative Support,False,False,2.0,38750.0,2800.0,-1.0,"Credit Authorizers, Checkers, and Clerks",43-0000
43-4051,Customer Service Representatives,0.7011,43-4051.00,Customer Service Representatives,Office and Administrative Support,True,True,2.0,33750.0,387600.0,55.0,,43-0000
43-4051,Customer Service Representatives,0.7011,43-4051.03,Patient Representatives,Office and Administrative Support,True,False,4.0,33750.0,387600.0,-1.0,Customer Service Representatives,43-0000
43-4061,"Eligibility Interviewers, Government Programs",0.0597,43-4061.00,"Eligibility Interviewers, Government Programs",Office and Administrative Support,False,False,3.0,46020.0,14700.0,70.0,,43-0000
43-4071,File Clerks,0.1568,43-4071.00,File Clerks,Office and Administrative Support,False,False,2.0,31700.0,11900.0,97.0,,43-0000
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.1725,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support,False,False,2.0,23700.0,41900.0,94.0,,43-0000
43-4111,"Interviewers, Except Eligibility and Loan",0.3851,43-4111.00,"Interviewers, Except Eligibility and Loan",Office and Administrative Support,False,False,2.0,34060.0,26200.0,94.0,,43-0000
43-4121,"Library Assistants, Clerical",0.0978,43-4121.00,"Library Assistants, Clerical",Office and Administrative Support,False,False,2.0,26500.0,13700.0,95.0,,43-0000
43-4131,Loan Interviewers and Clerks,0.2022,43-4131.00,Loan Interviewers and Clerks,Office and Administrative Support,True,False,3.0,39890.0,25900.0,92.0,,43-0000
43-4141,New Accounts Clerks,0.0,43-4141.00,New Accounts Clerks,Office and Administrative Support,False,False,2.0,35800.0,4400.0,99.0,,43-0000
43-4151,Order Clerks,0.0748,43-4151.00,Order Clerks,Office and Administrative Support,False,False,2.0,33460.0,19100.0,98.0,,43-0000
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.4046,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support,False,False,3.0,40390.0,13800.0,90.0,,43-0000
43-4171,Receptionists and Information Clerks,0.4338,43-4171.00,Receptionists and Information Clerks,Office and Administrative Support,True,False,2.0,29140.0,157900.0,96.0,,43-0000
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.2467,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,False,False,2.0,37220.0,15800.0,61.0,,43-0000
